Price,Period,Description,Location
"₦ 3,000,000",per annum,1bdrm Shared Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 35,000,000",per annum,Furnished 3bdrm Apartment in Old Ikoyi for rent,"Ikoyi, Old Ikoyi"
"₦ 35,000,000",per annum,"4bdrm Penthouse in Mobolaji Johnson, Old Ikoyi for rent","Ikoyi, Old Ikoyi"
"₦ 8,000,000",per annum,3bdrm Duplex in Ikota Gra Lekki for rent,"Lekki, Ikota"
"₦ 30,000,000",per annum,Furnished 3bdrm Apartment in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 3,500,000",per annum,1bdrm Apartment in Lekki for rent,Lekki
"₦ 28,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 12,000,000",per annum,Furnished 2bdrm Apartment in Ikate Lekki Lagos for rent,"Lekki, Ikate"
"₦ 8,000,000",per annum,4bdrm Duplex in Lekki Lagos for rent,Lekki
"₦ 8,000,000",per annum,4bdrm Duplex in Ikota Gra Lekki for rent,"Lekki, Ikota"
"₦ 20,000,000",per annum,Furnished 4bdrm Apartment in Victoria Island Extension for rent,"Victoria Island, Victoria Island Extension"
"₦ 2,200,000",per annum,"1bdrm Shared Apartment in Ocean Bay Estate., Lekki for rent",Lekki
"₦ 30,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 8,000,000",per annum,Furnished 4bdrm Duplex in Lekki for rent,Lekki
"₦ 300,000,000",,Furnished 2bdrm Block of Flats in Agility Estate Mile for sale,"Kosofe, Mile 12"
"₦ 40,000,000",per annum,3bdrm Maisonette in Ikoyi for rent,Ikoyi
"₦ 35,000,000",per annum,4bdrm Apartment in Ikoyi for rent,Ikoyi
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate-Elegushi"
"₦ 5,500,000",per annum,"4bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 14,000,000",per annum,"3bdrm Apartment in Off Admiralty, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 6,000,000",per annum,3bdrm Duplex in Osapa London for rent,"Lekki, Osapa london"
"₦ 1,800,000",per annum,Studio Apartment in Orchild Road Chevron for rent,"Lekki, Chevron"
"₦ 2,500,000",per annum,"4bdrm Apartment in Unity Estate, Ado / Ajah for rent","Ajah, Ado / Ajah"
"₦ 1,500,000",per annum,"Studio Apartment in Paradise Estate, Ikota for rent","Lekki, Ikota"
"₦ 10,000,000",per annum,"Furnished 4bdrm Duplex in Orchild Road, Chevron for rent","Lekki, Chevron"
"₦ 8,500,000",per annum,4bdrm Duplex in Chevron Estate for rent,"Lekki, Chevron"
"₦ 12,000,000",per annum,"Furnished 2bdrm Duplex in Salem, Ikate for rent","Lekki, Ikate"
"₦ 7,500,000",per annum,4bdrm Duplex in Ologolo for rent,"Lekki, Ologolo"
"₦ 42,000,000",per annum,3bdrm Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 14,000,000",per annum,3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 2,200,000",per annum,"2bdrm Apartment in Greenville, Badore for rent","Ibeju, Badore"
"₦ 15,000,000",per annum,4bdrm Duplex in Lekki for rent,Lekki
"₦ 2,800,000",per annum,"Studio Apartment in Blue Scourt, Ikota for rent","Lekki, Ikota"
"₦ 3,000,000",per annum,Mini Flat in Chevron for rent,"Lekki, Chevron"
"₦ 4,000,000",per annum,"1bdrm Apartment in Harris Drive, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Royal Pine, Chevron for rent","Lekki, Chevron"
"₦ 30,000,000",per annum,"4bdrm Duplex in Admiralty, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 8,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 15,000,000",per annum,3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 2,000,000",per annum,"Studio Apartment in Orchid Road, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"Furnished 4bdrm Maisonette in Chevron, Lekki for rent",Lekki
"₦ 8,500,000",per annum,4bdrm Duplex in Chevron for rent,"Lekki, Chevron"
"₦ 2,400,000",per annum,Studio Apartment in Osapa London for rent,"Lekki, Osapa london"
"₦ 15,000,000",per annum,"5bdrm Duplex in Ikate, Lekki for rent",Lekki
"₦ 5,000,000",per annum,4bdrm Duplex in Unity Estate for rent,"Ojodu, Unity Estate"
"₦ 4,000,000",per annum,"Mini Flat in Haris Drive, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"3bdrm Apartment in Osapa London, Lekki for rent",Lekki
"₦ 25,000,000",per annum,3bdrm Apartment in Victoria Island for rent,Victoria Island
"₦ 25,000,000",per annum,Furnished 2bdrm Condo in Lekki Please1 for rent,"Lekki, Lekki Phase 1"
"₦ 25,000,000",per annum,Furnished 6bdrm Duplex in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 5,500,000",per annum,"Furnished 4bdrm Duplex in Greenville, Badore for rent","Ibeju, Badore"
"₦ 600,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,"Furnished 2bdrm Apartment in Westend Estate, Ikota for rent","Lekki, Ikota"
"₦ 4,000,000",per annum,"Mini Flat in Orchild, Ikota for rent","Lekki, Ikota"
"₦ 6,000,000",per annum,"3bdrm Apartment in Ikate, Chevron for rent","Lekki, Chevron"
"₦ 2,500,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 2,500,000",per annum,Studio Apartment in Chevron Drive for rent,"Lekki, Chevron"
"₦ 3,500,000",per annum,Studio Apartment in Chevron for rent,"Lekki, Chevron"
"₦ 7,000,000",,"4bdrm Duplex in Harris Drive, Lekki for rent",Lekki
"₦ 4,000,000",per annum,"Mini Flat in Westend Estate, Chevron for rent","Lekki, Chevron"
"₦ 850,000",per annum,"1bdrm Apartment in Greenville Estate, Ajah for rent",Ajah
"₦ 10,000,000",per annum,"3bdrm Duplex in Admiralty, Lekki for rent",Lekki
"₦ 3,400,000",per annum,Studio Apartment in Chevron for rent,"Lekki, Chevron"
"₦ 15,000,000",per annum,"4bdrm Duplex in Freedom Way, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 2,200,000",per annum,"1bdrm Apartment in Chevy View, Chevron for rent","Lekki, Chevron"
"₦ 13,000,000",per annum,"3bdrm Duplex in Marwa, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 7,000,000",per annum,"3bdrm Apartment in Osapa London, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"4bdrm Duplex in Bera Estate, Chevron for rent","Lekki, Chevron"
"₦ 25,000,000",per annum,"Furnished 2bdrm Apartment in Ikoyi, Lekki for rent",Lekki
"₦ 2,500,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 55,000,000",per annum,"5bdrm Duplex in Admiralty, Lekki for rent",Lekki
"₦ 6,000,000",per annum,4bdrm Duplex in Ajah for rent,Ajah
"₦ 1,700,000",per annum,"Studio Apartment in Royal Pine, Chevron for rent","Lekki, Chevron"
"₦ 1,500,000",per annum,"3bdrm Apartment in Unity Estate, Ado / Ajah for rent","Ajah, Ado / Ajah"
"₦ 1,700,000",per annum,"Studio Apartment in Dpk Estate, Lekki for rent",Lekki
"₦ 3,000,000",per annum,"Studio Apartment in Dpk Estate, Ikota for rent","Lekki, Ikota"
"₦ 1,700,000",per annum,"Studio Apartment in Dpk Estate, Lekki for rent",Lekki
"₦ 17,000,000",per annum,Furnished 3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,2bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,3bdrm Apartment in Chevron Toalgate for rent,"Lekki, Chevron"
"₦ 8,500,000",per annum,"4bdrm Duplex in Chevy View, Chevron for rent","Lekki, Chevron"
"₦ 35,000,000",per annum,3bdrm Apartment in Victoria Island for rent,Victoria Island
"₦ 5,000,000",per annum,"3bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 2,300,000",per annum,Studio Apartment in Lekki for rent,Lekki
"₦ 4,000,000",per annum,"Mini Flat in Westend, Ikota for rent","Lekki, Ikota"
"₦ 8,000,000",per annum,"Furnished 1bdrm Apartment in Ologolo, Lekki for rent",Lekki
"₦ 25,000,000",per annum,"3bdrm Apartment in Vi, Victoria Island for rent",Victoria Island
"₦ 2,800,000",per annum,"Studio Apartment in Orchid Road, Ikota for rent","Lekki, Ikota"
"₦ 7,000,000",per annum,"4bdrm Duplex in Chevy View, Lekki for rent",Lekki
"₦ 8,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 3,000,000",per annum,"1bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"4bdrm Duplex in Orchid, Chevron for rent","Lekki, Chevron"
"₦ 6,000,000",per annum,"4bdrm Duplex in Orchild Road, Chevron for rent","Lekki, Chevron"
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate-Elegushi"
"₦ 18,000,000",per annum,"2bdrm Apartment in Periwinkle Estate, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 13,500,000",per annum,2bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 7,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 10,000,000",per annum,3bdrm Villa in Chevron for rent,"Lekki, Chevron"
"₦ 15,000,000",per annum,"Furnished 5bdrm Duplex in Osapa London, Lekki for rent",Lekki
"₦ 2,800,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 750,000",per annum,"1bdrm Apartment in Greenville, Badore for rent","Ibeju, Badore"
"₦ 2,500,000",per annum,"Studio Apartment in Paradise 3, Lekki for rent",Lekki
"₦ 12,000,000",,3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 9,000,000",per annum,"Furnished 4bdrm Duplex in Chevron, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"3bdrm Apartment in Chevron Extension, Lekki for rent",Lekki
"₦ 10,000,000",per annum,1bdrm Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 9,000,000",per annum,"4bdrm Duplex in Megamound, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"3bdrm Apartment in Ganzali, Chevron for rent","Lekki, Chevron"
